Date - Hora;Tensão Painel;Corrente Painel;Tensão CUK;Corrente CUK;Duty Cicle
23/11/2018 18:52:26;1,2;14;2;0,69;1
23/11/2018 18:54:33;1,2;14;2;0,69;1
23/11/2018 18:54:39;1,2;14;2;0,69;1
23/11/2018 18:54:44;1;14;2;0,69;0
23/11/2018 18:55:08;12;1;14;2;0,69
23/11/2018 18:55:48;12;1;14;2;0,69
23/11/2018 18:56:07;12;1;14;2;0,69
23/11/2018 19:31:19;10,74;3,28;13,91;1,73; 834
23/11/2018 19:31:20;10,79;3,24;13,91;1,75; 832
23/11/2018 19:31:59;10,10;3,28;13,81;1,64; 864
23/11/2018 19:31:59;10,06;3,25;13,81;1,66; 866
23/11/2018 19:31:59;9,98;3,25;13,81;1,64; 870
23/11/2018 19:32:00;9,94;3,26;13,80;1,62; 870
23/11/2018 19:32:00;9,98;3,25;13,81;1,63; 870
23/11/2018 19:32:00;9,95;3,30;13,80;1,62; 868
23/11/2018 19:32:00;9,97;3,34;13,82;1,63; 866
23/11/2018 19:32:01;10,01;3,28;13,81;1,64; 868
23/11/2018 19:32:01;10,01;3,25;13,82;1,64; 868
23/11/2018 19:32:01;9,89;3,28;13,81;1,62; 870
23/11/2018 19:32:01;9,93;3,23;13,81;1,63; 872
23/11/2018 19:32:02;9,97;3,25;13,82;1,61; 868
23/11/2018 19:32:02;9,93;3,25;13,81;1,61; 872
23/11/2018 19:32:02;9,97;3,28;13,81;1,64; 868
23/11/2018 19:32:02;10,02;3,26;13,82;1,64; 868
23/11/2018 19:32:03;10,02;3,26;13,81;1,64; 866
23/11/2018 19:35:09;2,25;0,16;26,38;-0,05;1080
23/11/2018 19:35:09;2,22;0,19;26,40;-0,07;1080
23/11/2018 19:35:09;2,19;0,18;26,41;-0,06;1080
23/11/2018 19:35:10;2,21;0,16;26,40;-0,06;1080
23/11/2018 19:35:10;2,25;0,15;26,40;-0,06;1080
23/11/2018 19:35:10;2,25;0,16;26,41;-0,04;1080
23/11/2018 19:35:10;2,25;0,16;26,40;-0,07;1080
23/11/2018 19:35:11;2,25;0,18;26,40;-0,07;1080
23/11/2018 19:35:11;2,25;0,15;26,40;-0,06;1080
23/11/2018 19:35:11;2,24;0,16;26,40;-0,06;1080
23/11/2018 19:35:11;2,24;0,17;26,38;-0,06;1080
23/11/2018 19:35:12;2,19;0,16;26,40;-0,07;1080
23/11/2018 19:35:12;2,25;0,16;26,41;-0,07;1080
23/11/2018 19:35:12;2,25;0,15;26,40;-0,05;1080
23/11/2018 19:35:12;2,25;0,16;26,40;-0,06;1080
23/11/2018 19:35:13;2,25;0,19;26,40;-0,07;1080
23/11/2018 19:35:13;2,25;0,16;26,40;-0,07;1080
23/11/2018 19:35:13;2,25;0,16;26,40;-0,07;1080
23/11/2018 19:35:13;2,25;0,17;26,40;-0,05;1080
23/11/2018 19:35:14;2,21;0,14;26,41;-0,06;1080
23/11/2018 19:35:14;2,25;0,16;26,40;-0,06;1080
23/11/2018 19:35:14;2,25;0,16;26,40;-0,05;1080
23/11/2018 19:35:15;2,25;0,16;26,40;-0,05;1080
23/11/2018 19:35:15;2,25;0,16;26,40;-0,07;1080
23/11/2018 19:35:15;2,25;0,16;26,40;-0,06;1080
23/11/2018 19:35:15;2,25;0,16;26,38;-0,06;1080
23/11/2018 19:35:16;2,25;0,16;26,40;-0,06;1080
23/11/2018 19:35:16;2,25;0,16;26,40;-0,06;1080
23/11/2018 19:35:16;2,24;0,16;26,40;-0,07;1080
23/11/2018 19:35:16;2,19;0,22;26,41;-0,07;1080
23/11/2018 19:35:17;2,25;0,16;26,40;-0,06;1080
23/11/2018 19:35:17;2,21;0,19;26,41;-0,08;1080
23/11/2018 19:35:17;2,24;0,17;26,41;-0,06;1080
23/11/2018 19:35:17;2,25;0,15;26,40;-0,06;1080
23/11/2018 19:35:18;2,25;0,12;26,40;-0,06;1080
23/11/2018 19:35:18;2,25;0,16;26,38;-0,05;1080
23/11/2018 19:35:18;2,25;0,16;26,40;-0,06;1080
23/11/2018 19:35:18;2,25;0,18;26,40;-0,05;1080
23/11/2018 19:35:19;2,24;0,19;26,41;-0,07;1080
23/11/2018 19:35:19;2,25;0,16;26,40;-0,07;1080
23/11/2018 19:35:19;2,25;0,16;26,40;-0,08;1080
23/11/2018 19:35:20;2,23;0,18;26,40;-0,06;1080
23/11/2018 19:35:20;2,23;0,14;26,40;-0,05;1080
23/11/2018 19:35:20;2,25;0,16;26,38;-0,06;1080
23/11/2018 19:35:20;2,25;0,15;26,38;-0,06;1080
23/11/2018 19:35:21;2,25;0,16;26,38;-0,05;1080
23/11/2018 19:35:21;2,22;0,19;26,40;-0,06;1080
23/11/2018 19:35:21;2,25;0,16;26,40;-0,07;1080
23/11/2018 19:35:21;2,21;0,19;26,40;-0,08;1080
23/11/2018 19:35:22;2,25;0,16;26,38;-0,07;1080
23/11/2018 19:35:22;2,25;0,12;26,38;-0,07;1080
23/11/2018 19:35:22;2,23;0,19;26,38;-0,06;1080
23/11/2018 19:35:22;2,25;0,17;26,38;-0,05;1080
23/11/2018 19:35:23;2,21;0,19;26,38;-0,07;1080
23/11/2018 19:35:23;2,19;0,23;26,40;-0,07;1080
23/11/2018 19:35:23;2,25;0,15;26,38;-0,04;1080
23/11/2018 19:35:23;2,25;0,16;26,40;-0,06;1080
23/11/2018 19:35:24;2,25;0,16;26,40;-0,07;1080
23/11/2018 19:35:24;2,25;0,15;26,38;-0,07;1080
23/11/2018 19:35:24;2,22;0,19;26,40;-0,07;1080
23/11/2018 19:35:25;2,24;0,19;26,40;-0,05;1080
23/11/2018 19:35:25;2,24;0,16;26,38;-0,06;1080
23/11/2018 19:35:25;2,25;0,19;26,38;-0,07;1080
23/11/2018 19:35:25;2,20;0,19;26,40;-0,07;1080
23/11/2018 19:35:26;2,25;0,16;26,38;-0,06;1080
23/11/2018 19:35:26;2,19;0,21;26,41;-0,07;1080
23/11/2018 19:35:26;2,25;0,16;26,37;-0,06;1080
23/11/2018 19:35:26;2,25;0,15;26,37;-0,08;1080
23/11/2018 19:35:27;2,25;0,19;26,38;-0,05;1080
23/11/2018 19:35:27;2,25;0,16;26,40;-0,05;1080
23/11/2018 19:35:27;2,25;0,18;26,38;-0,05;1080
23/11/2018 19:35:27;2,24;0,16;26,38;-0,06;1080
